날짜,지사,제품명,단가,판매수량,매출액,할인율,광고비,고객만족도
2024-03-20,대전지사,게이밍 모니터,450000,2,900000,0.09,75120,4
2024.06.01,Seoul_Main,노트북 Pro,1500000,8,12000000,0.18,275400,5
2024-11-15,부산지사,무선 키보드,120000,5,600000,,162000,3
2024.01.05,광주지사,태블릿 PC,800000,3,2400000,0.12,102500,4
2024-08-22,서울본점,스마트 워치,350000,1,350000,0.05,42000,3
2024-02-14,대구지사,노트북 Pro,1500000,10,15000000,0.20,340100,5
2024.09.09,Seoul_Main,게이밍 모니터,450000,4,1800000,0.15,135000,5
2024-12-01,대전지사,무선 키보드,120000,6,720000,,195000,4
2024.05.20,부산지사,태블릿 PC,800000,2,1600000,0.08,70500,3
2024-07-07,서울본점,스마트 워치,350000,9,3150000,0.19,290000,5
2024-04-12,광주지사,노트북 Pro,1500000,5,7500000,0.10,185000,4
2024.10.30,대구지사,게이밍 모니터,450000,3,1350000,0.11,100200,4
2024-01-18,Seoul_Main,무선 키보드,120000,1,120000,0.05,41000,3
2024.03.15,부산지사,태블릿 PC,800000,7,5600000,,245000,5
2024-06-25,대전지사,스마트 워치,350000,4,1400000,0.14,142000,4
2024-11-02,서울본점,노트북 Pro,1500000,6,9000000,0.16,215000,5
2024.08.14,광주지사,게이밍 모니터,450000,2,900000,0.07,72000,3
2024-05-05,대구지사,무선 키보드,120000,8,960000,,260000,4
2024.02.28,Seoul_Main,태블릿 PC,800000,5,4000000,0.13,178000,5
2024-09-19,부산지사,스마트 워치,350000,3,1050000,0.10,108000,4
2024-12-25,서울본점,노트북 Pro,1500000,9,13500000,0.18,310500,5
2024.07.11,대전지사,게이밍 모니터,450000,1,450000,0.06,45000,3
2024-04-01,광주지사,무선 키보드,120000,4,480000,0.09,135000,3
2024.10.05,대구지사,태블릿 PC,800000,6,4800000,,205000,5
2024-01-22,Seoul_Main,스마트 워치,350000,2,700000,0.08,74000,3
2024-03-30,부산지사,노트북 Pro,1500000,7,10500000,0.17,255000,5
2024.06.18,서울본점,게이밍 모니터,450000,5,2250000,0.12,165000,4
2024-08-08,광주지사,무선 키보드,120000,3,360000,,102000,3
2024.11.21,대전지사,태블릿 PC,800000,4,3200000,0.11,148000,4
2024-02-09,대구지사,스마트 워치,350000,8,2800000,0.19,268000,5
2024-05-14,Seoul_Main,노트북 Pro,1500000,3,4500000,0.09,120000,4
2024.09.02,부산지사,게이밍 모니터,450000,6,2700000,,201000,5
2024-12-12,서울본점,무선 키보드,120000,2,240000,0.07,71000,3
2024.04.25,광주지사,태블릿 PC,800000,1,800000,0.05,48000,3
2024-07-30,대전지사,스마트 워치,350000,5,1750000,0.13,172000,4
2024-10-18,대구지사,노트북 Pro,1500000,8,12000000,0.18,285000,5
2024.01.11,Seoul_Main,게이밍 모니터,450000,3,1350000,0.10,105000,4
2024-03-08,부산지사,무선 키보드,120000,7,840000,,235000,4
2024.06.05,서울본점,태블릿 PC,800000,9,7200000,0.19,305000,5
2024-08-28,광주지사,스마트 워치,350000,6,2100000,0.15,208000,5
2024-11-09,대전지사,노트북 Pro,1500000,4,6000000,0.12,150000,4
2024.02.19,대구지사,게이밍 모니터,450000,2,900000,,78000,3
2024-05-27,Seoul_Main,무선 키보드,120000,9,1080000,0.20,295000,5
2024.09.15,부산지사,태블릿 PC,800000,5,4000000,0.14,175000,5
2024-12-20,서울본점,스마트 워치,350000,3,1050000,0.09,112000,3
2024-04-05,광주지사,노트북 Pro,1500000,2,3000000,0.08,95000,4
2024.07.22,대전지사,게이밍 모니터,450000,7,3150000,,238000,5
2024-10-10,대구지사,무선 키보드,120000,4,480000,0.11,138000,4
2024.01.29,Seoul_Main,태블릿 PC,800000,6,4800000,0.16,212000,5
2024-03-12,부산지사,스마트 워치,350000,8,2800000,0.18,272000,5
